,record_id,weight,rssd9001,rssd9999,bhc_avgtradingratio,treat_3_b_avg,after_DFA_1,dep_roa1,dep_leverage,dep_lnassets,dep_creditrisk_total3,dep_cir,dep_depositratio,dep_loans_REratio,dep_liquidity,dep_cpp_bankquarter,scores,match_id
0,0,1.0,1020201,2004-09-30,0.1264535,1,0,0.0029061339000000003,0.070028253,18.610798000000003,0.013813183,0.33909735,0.39030284,0.75804251,0.044461463,0,0.9811796578210238,0
1,1,1.0,1032473,2004-09-30,0.14673795,1,0,0.0055916193000000005,0.076140024,17.80407,0.030847851000000003,0.38878143,0.10362743,0.031637631,0.13784617,0,0.9964920138313844,1
2,2,1.0,1033470,2004-09-30,0.042099986,1,0,0.0037050323999999997,0.09326569,18.355526,0.019650253,0.57842666,0.26828509999999994,0.18829747,0.12903763,0,0.9843795928841077,2
3,3,1.0,1039502,2004-09-30,0.23503859,1,0,0.0014497257999999999,0.077595092,20.852951,0.019520015,0.55989331,0.25659126,0.35411853,0.06469427,0,0.9974119159992471,3
4,4,1.0,1042351,2004-09-30,0.090865001,1,0,0.0049078511,0.098412625,20.617458,0.035596304,0.40818918,0.17824864,0.37138605,0.04829216,0,0.9976211937306723,4
5,5,1.0,1073551,2004-09-30,0.07496324900000001,1,0,0.0029539056,0.077815421,19.894753,0.010751172,0.52592272,0.48671153,0.54986072,0.03599415,0,0.9554515599483124,5
6,6,1.0,1073757,2004-09-30,0.12290303,1,0,0.0035356073999999998,0.09104046199999999,20.808813,0.016178271,0.42328832,0.35445329999999997,0.56975836,0.036152187999999995,0,0.9937255538723605,6
7,7,1.0,1094640,2004-09-30,0.034627248,1,0,0.0040872777,0.070219912,17.158251,0.0076391557,0.60120249,0.47168347,0.78974819,0.030097767999999997,0,0.6288066309385103,7
8,8,1.0,1107205,2004-09-30,0.039911646,1,0,0.0052503343,0.11500126,14.237294,0.010389136,0.49222365,0.4620941,0.29544023,0.09085843,0,0.769360453319883,8
9,9,1.0,1379552,2004-09-30,0.035335108999999996,1,0,0.00040415171000000004,0.036384098,18.713896,0.026742263,0.53747749,0.25527775,0.57006782,0.021719158,0,0.9902558586679555,9
10,10,1.0,1417360,2004-09-30,0.046837162,1,0,0.0013871220000000002,0.063835353,12.440204,0.012253026,0.47448167,0.53174329,0.56358957,0.02617499,0,0.5447994270977171,10
11,11,1.0,1883693,2004-09-30,0.028501653999999998,1,0,0.0033584775,0.09192670900000001,16.485205,0.017999273,0.46345377,0.54914403,0.4711535,0.04078738,0,0.8840589452678131,11
12,12,1.0,1951350,2004-09-30,0.16969053,1,0,0.003747103,0.071185425,21.085511999999998,0.034623984,0.45362997,0.11273430000000001,0.36376220000000004,0.035318635,0,0.9988326080001053,12
13,13,1.0,1966783,2004-09-30,0.074820802,1,0,0.0018494066,0.111451,13.793282000000001,0.0043598842,0.3394914,0.84695572,0.98864156,0.014479188999999998,0,0.34919434297786056,13
14,14,1.0,2052601,2004-09-30,0.063917212,1,0,0.0035097825,0.10216194,12.473494,0.011773707,0.51424664,0.65722787,0.62117726,0.04049306,0,0.1160180068038473,14
15,15,1.0,2797498,2004-09-30,0.38945189,1,0,0.0035366588,0.070187442,17.437920000000002,0.0074188281,0.61242867,0.0090600932,0.46980539,0.0069936309,0,0.9803913953660764,15
16,16,1.0,3232316,2004-09-30,0.08723627,1,0,0.0017624361999999999,0.084244199,19.569868,0.047637448,0.37768951,0.14859715,0.6076858,0.027682526000000002,0,0.9984582564181601,16
17,17,1.0,3232325,2004-09-30,0.08723626300000001,1,0,0.0017624034,0.083743021,19.569868,0.047637448,0.37768933,0.14859714,0.6076858,0.027682522,0,0.998455925621143,17
18,46,0.09090909090909091,1025608,2004-09-30,0.0006673438499999999,0,0,0.0028701955,0.11035123,17.539108,0.0091238869,0.42872468,0.46202427,0.44908494,0.046540782,0,0.9773743508216485,0
19,46,0.09090909090909091,1025608,2004-09-30,0.0006673438499999999,0,0,0.0028701955,0.11035123,17.539108,0.0091238869,0.42872468,0.46202427,0.44908494,0.046540782,0,0.9773743508216485,1
20,46,0.09090909090909091,1025608,2004-09-30,0.0006673438499999999,0,0,0.0028701955,0.11035123,17.539108,0.0091238869,0.42872468,0.46202427,0.44908494,0.046540782,0,0.9773743508216485,2
21,46,0.09090909090909091,1025608,2004-09-30,0.0006673438499999999,0,0,0.0028701955,0.11035123,17.539108,0.0091238869,0.42872468,0.46202427,0.44908494,0.046540782,0,0.9773743508216485,3
22,46,0.09090909090909091,1025608,2004-09-30,0.0006673438499999999,0,0,0.0028701955,0.11035123,17.539108,0.0091238869,0.42872468,0.46202427,0.44908494,0.046540782,0,0.9773743508216485,4
23,46,0.09090909090909091,1025608,2004-09-30,0.0006673438499999999,0,0,0.0028701955,0.11035123,17.539108,0.0091238869,0.42872468,0.46202427,0.44908494,0.046540782,0,0.9773743508216485,6
24,46,0.09090909090909091,1025608,2004-09-30,0.0006673438499999999,0,0,0.0028701955,0.11035123,17.539108,0.0091238869,0.42872468,0.46202427,0.44908494,0.046540782,0,0.9773743508216485,9
25,46,0.09090909090909091,1025608,2004-09-30,0.0006673438499999999,0,0,0.0028701955,0.11035123,17.539108,0.0091238869,0.42872468,0.46202427,0.44908494,0.046540782,0,0.9773743508216485,12
26,46,0.09090909090909091,1025608,2004-09-30,0.0006673438499999999,0,0,0.0028701955,0.11035123,17.539108,0.0091238869,0.42872468,0.46202427,0.44908494,0.046540782,0,0.9773743508216485,15
27,46,0.09090909090909091,1025608,2004-09-30,0.0006673438499999999,0,0,0.0028701955,0.11035123,17.539108,0.0091238869,0.42872468,0.46202427,0.44908494,0.046540782,0,0.9773743508216485,16
28,46,0.09090909090909091,1025608,2004-09-30,0.0006673438499999999,0,0,0.0028701955,0.11035123,17.539108,0.0091238869,0.42872468,0.46202427,0.44908494,0.046540782,0,0.9773743508216485,17
29,50,1.0,1027004,2004-09-30,0.027202109,0,0,0.0033263898999999998,0.086988725,17.240783999999998,0.0081087388,0.47522825,0.51523787,0.71775258,0.035668217,0,0.8830682232448999,11
30,79,1.0,1039454,2004-09-30,0.0,0,0,0.0036295902000000003,0.07872404200000001,14.409007999999998,0.013476243,0.48845229,0.48965225,0.24599382,0.036761302999999995,0,0.7697326867801233,8
31,114,1.0,1053580,2004-09-30,0.0,0,0,0.0010026145,0.10127601,14.155185999999999,0.0058226725,0.57894737,0.5940364,0.49914119,0.027072348,0,0.6348420855929757,7
32,153,1.0,1057962,2004-09-30,0.0,0,0,0.006136293100000001,0.09864419699999999,12.494667,0.0034310392,0.37614226,0.75219321,0.86222601,0.016462905,0,0.11643212506178877,14
33,207,0.08333333333333333,1068025,2004-09-30,0.029179877000000003,0,0,0.0028971538000000002,0.079218045,18.293829000000002,0.017798102,0.5230459,0.43293366,0.44087699,0.03413295,0,0.9602242022895475,0
34,207,0.08333333333333333,1068025,2004-09-30,0.029179877000000003,0,0,0.0028971538000000002,0.079218045,18.293829000000002,0.017798102,0.5230459,0.43293366,0.44087699,0.03413295,0,0.9602242022895475,1
35,207,0.08333333333333333,1068025,2004-09-30,0.029179877000000003,0,0,0.0028971538000000002,0.079218045,18.293829000000002,0.017798102,0.5230459,0.43293366,0.44087699,0.03413295,0,0.9602242022895475,2
36,207,0.08333333333333333,1068025,2004-09-30,0.029179877000000003,0,0,0.0028971538000000002,0.079218045,18.293829000000002,0.017798102,0.5230459,0.43293366,0.44087699,0.03413295,0,0.9602242022895475,3
